"Step","2025-05-10_21-14-05_kitchen-complete-v0_fql_mlp_ta4_td4_seed3407 - avg episode reward - eval","2025-05-10_21-14-05_kitchen-complete-v0_fql_mlp_ta4_td4_seed3407 - avg episode reward - eval__MIN","2025-05-10_21-14-05_kitchen-complete-v0_fql_mlp_ta4_td4_seed3407 - avg episode reward - eval__MAX","2025-05-10_21-14-05_kitchen-complete-v0_fql_mlp_ta4_td4_seed0 - avg episode reward - eval","2025-05-10_21-14-05_kitchen-complete-v0_fql_mlp_ta4_td4_seed0 - avg episode reward - eval__MIN","2025-05-10_21-14-05_kitchen-complete-v0_fql_mlp_ta4_td4_seed0 - avg episode reward - eval__MAX","17-52-52_kitchen-complete-v0_ppo_diffusion_mlp_ta4_td20_tdf10_seed3407 - avg episode reward - eval","17-52-52_kitchen-complete-v0_ppo_diffusion_mlp_ta4_td20_tdf10_seed3407 - avg episode reward - eval__MIN","17-52-52_kitchen-complete-v0_ppo_diffusion_mlp_ta4_td20_tdf10_seed3407 - avg episode reward - eval__MAX","17-52-02_kitchen-complete-v0_ppo_diffusion_mlp_ta4_td20_tdf10_seed0 - avg episode reward - eval","17-52-02_kitchen-complete-v0_ppo_diffusion_mlp_ta4_td20_tdf10_seed0 - avg episode reward - eval__MIN","17-52-02_kitchen-complete-v0_ppo_diffusion_mlp_ta4_td20_tdf10_seed0 - avg episode reward - eval__MAX","2025-05-10_17-42-59_kitchen-complete-v0_fql_mlp_ta4_td4_seed42 - avg episode reward - eval","2025-05-10_17-42-59_kitchen-complete-v0_fql_mlp_ta4_td4_seed42 - avg episode reward - eval__MIN","2025-05-10_17-42-59_kitchen-complete-v0_fql_mlp_ta4_td4_seed42 - avg episode reward - eval__MAX","2025-05-08_11-20-55_kitchen-complete-v0_ppo_shortcut_mlp_ta4_td4_tdf4_seed3407 - eval/avg episode reward","2025-05-08_11-20-55_kitchen-complete-v0_ppo_shortcut_mlp_ta4_td4_tdf4_seed3407 - eval/avg episode reward__MIN","2025-05-08_11-20-55_kitchen-complete-v0_ppo_shortcut_mlp_ta4_td4_tdf4_seed3407 - eval/avg episode reward__MAX","2025-05-08_11-20-14_kitchen-complete-v0_ppo_shortcut_mlp_ta4_td4_tdf4_seed0 - eval/avg episode reward","2025-05-08_11-20-14_kitchen-complete-v0_ppo_shortcut_mlp_ta4_td4_tdf4_seed0 - eval/avg episode reward__MIN","2025-05-08_11-20-14_kitchen-complete-v0_ppo_shortcut_mlp_ta4_td4_tdf4_seed0 - eval/avg episode reward__MAX","2025-05-08_07-05-08_kitchen-complete-v0_ppo_diffusion_mlp_ta4_td20_tdf10_seed42 - avg episode reward - eval","2025-05-08_07-05-08_kitchen-complete-v0_ppo_diffusion_mlp_ta4_td20_tdf10_seed42 - avg episode reward - eval__MIN","2025-05-08_07-05-08_kitchen-complete-v0_ppo_diffusion_mlp_ta4_td20_tdf10_seed42 - avg episode reward - eval__MAX","2025-05-08_07-03-14_kitchen-complete-v0_ppo_shortcut_mlp_ta4_td4_tdf4_seed42 - eval/avg episode reward","2025-05-08_07-03-14_kitchen-complete-v0_ppo_shortcut_mlp_ta4_td4_tdf4_seed42 - eval/avg episode reward__MIN","2025-05-08_07-03-14_kitchen-complete-v0_ppo_shortcut_mlp_ta4_td4_tdf4_seed42 - eval/avg episode reward__MAX"
"60000","0.2857142857142857","0.2857142857142857","0.2857142857142857","0","0","0","","","","","","","0.2857142857142857","0.2857142857142857","0.2857142857142857","","","","","","","","","","","",""
"65000","0.7142857142857143","0.7142857142857143","0.7142857142857143","0.14285714285714285","0.14285714285714285","0.14285714285714285","","","","","","","0.2857142857142857","0.2857142857142857","0.2857142857142857","","","","","","","","","","","",""
"70000","0.2857142857142857","0.2857142857142857","0.2857142857142857","0","0","0","","","","","","","0","0","0","","","","","","","","","","","",""
"75000","0.2857142857142857","0.2857142857142857","0.2857142857142857","0.14285714285714285","0.14285714285714285","0.14285714285714285","","","","","","","0.5714285714285714","0.5714285714285714","0.5714285714285714","","","","","","","","","","","",""
"80000","0.5714285714285714","0.5714285714285714","0.5714285714285714","1.1428571428571428","1.1428571428571428","1.1428571428571428","","","","","","","0.42857142857142855","0.42857142857142855","0.42857142857142855","","","","","","","","","","","",""
"85000","0.42857142857142855","0.42857142857142855","0.42857142857142855","0","0","0","","","","","","","0.2857142857142857","0.2857142857142857","0.2857142857142857","","","","","","","","","","","",""
"90000","0.5714285714285714","0.5714285714285714","0.5714285714285714","0.2857142857142857","0.2857142857142857","0.2857142857142857","","","","","","","0.42857142857142855","0.42857142857142855","0.42857142857142855","","","","","","","","","","","",""
"95000","0.14285714285714285","0.14285714285714285","0.14285714285714285","0.2857142857142857","0.2857142857142857","0.2857142857142857","","","","","","","0.42857142857142855","0.42857142857142855","0.42857142857142855","","","","","","","","","","","",""
"100000","1","1","1","0","0","0","","","","","","","0.14285714285714285","0.14285714285714285","0.14285714285714285","","","","","","","","","","","",""
"105000","0.8571428571428571","0.8571428571428571","0.8571428571428571","0.2857142857142857","0.2857142857142857","0.2857142857142857","","","","","","","0.2857142857142857","0.2857142857142857","0.2857142857142857","","","","","","","","","","","",""
"110000","0.5714285714285714","0.5714285714285714","0.5714285714285714","0.2857142857142857","0.2857142857142857","0.2857142857142857","","","","","","","0.14285714285714285","0.14285714285714285","0.14285714285714285","","","","","","","","","","","",""
"115000","0.2857142857142857","0.2857142857142857","0.2857142857142857","0.2857142857142857","0.2857142857142857","0.2857142857142857","","","","","","","0.2857142857142857","0.2857142857142857","0.2857142857142857","","","","","","","","","","","",""
"120000","0.42857142857142855","0.42857142857142855","0.42857142857142855","0.2857142857142857","0.2857142857142857","0.2857142857142857","","","","","","","0","0","0","","","","","","","","","","","",""
"125000","0.7142857142857143","0.7142857142857143","0.7142857142857143","0.42857142857142855","0.42857142857142855","0.42857142857142855","","","","","","","0.42857142857142855","0.42857142857142855","0.42857142857142855","","","","","","","","","","","",""
"130000","0","0","0","0.5714285714285714","0.5714285714285714","0.5714285714285714","","","","","","","0.14285714285714285","0.14285714285714285","0.14285714285714285","","","","","","","","","","","",""
"135000","0.42857142857142855","0.42857142857142855","0.42857142857142855","0.5714285714285714","0.5714285714285714","0.5714285714285714","","","","","","","0","0","0","","","","","","","","","","","",""
"140000","0.5714285714285714","0.5714285714285714","0.5714285714285714","0.8571428571428571","0.8571428571428571","0.8571428571428571","","","","","","","0.5714285714285714","0.5714285714285714","0.5714285714285714","","","","","","","","","","","",""
"145000","0.2857142857142857","0.2857142857142857","0.2857142857142857","0","0","0","","","","","","","0.42857142857142855","0.42857142857142855","0.42857142857142855","","","","","","","","","","","",""
